
급행1	1000001000
급행2	1000002000
급행3	1000003000
급행4	1000004000
순환2	2000002000
순환2-1	2000002100
순환3	2000003000
순환3-1	2000003100
101 (파계사방면)	3000101000
101 (덕곡방면)	3000101001
101 (파계사방면(휴일))	3000101002
101 (덕곡방면(휴일))	3000101003
101 (덕곡방면(서촌로경유-상행))	3000101004
101 (덕곡방면(휴일,서촌로경유-상행))	3000101006
101 (덕곡방면(서촌로경유-하행))	3000101007
101 (덕곡방면(휴일,서촌로경유-하행))	3000101008
101-1 (파계사방면)	3000101100
101-1 (덕곡방면)	3000101101
101-1 (파계사방면(휴일))	3000101102
101-1 (덕곡방면(휴일))	3000101103
101-1 (덕곡방면(서촌로경유-상행))	3000101104
101-1 (덕곡방면(휴일,서촌로경유-상행))	3000101105
101-1 (덕곡방면(서촌로경유-하행))	3000101108
101-1 (덕곡방면(휴일,서촌로경유-하행))	3000101109
106	3000106000
156	3000156000
202	3000202000
202-1	3000202100
300	3000300000
303	3000303000
303-1	3000303100
305	3000305000
309	3000309000
323	3000323000
323-1	3000323100
349	3000349000
356	3000356000
400	3000400000
400-1	3000400100
401	3000401000
401 (능성동맞춤노선(평일,오전))	3000401078
